order_line,order_id,order_date,ship_date,ship_mode,customer_id,product_id,sales_amount,quantity,discount,profit
191,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,TEC-PH-10001552,71.76,6,0,20.0928
192,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,OFF-PA-10000061,51.84,8,0,24.8832
193,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,FUR-BO-10002545,626.352,3,0.2,46.9764
194,CA-2015-102281,2015-10-12,2015-10-14,First Class,MP-17470,OFF-AR-10003514,19.9,5,0,6.567
195,CA-2015-131457,2015-10-31,2015-11-06,Standard Class,MZ-17515,OFF-EN-10001509,14.28,7,0,6.7116
212,CA-2015-101007,2015-02-09,2015-02-13,Second Class,MS-17980,TEC-AC-10001266,20.8,2,0.2,6.5
213,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,OFF-LA-10004544,23.68,2,0.2,8.88
214,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,FUR-BO-10004695,452.45,5,0.5,-244.323
215,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,TEC-PH-10002844,62.982,3,0.4,-14.6958
216,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,TEC-MA-10000864,1188,9,0.7,-950.4
217,CA-2015-146262,2015-01-02,2015-01-09,Standard Class,VW-21775,TEC-AC-10000109,89.584,2,0.2,4.4792
220,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,OFF-FA-10000585,5.584,2,0.2,1.8148
221,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,OFF-PA-10004000,22.704,6,0.2,8.2302
222,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,OFF-BI-10002852,19.776,4,0.7,-13.8432
223,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,FUR-FU-10000087,72.704,4,0.2,19.0848
224,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,TEC-MA-10001148,479.988,4,0.7,-383.9904
225,CA-2015-169397,2015-12-24,2015-12-27,First Class,JB-15925,OFF-AR-10001958,27.168,2,0.2,2.7168
226,CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,OFF-AR-10001026,2.2,1,0,0.968
227,CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,FUR-TA-10003748,622.45,5,0,136.939
228,CA-2015-163055,2015-08-09,2015-08-16,Standard Class,DS-13180,OFF-ST-10002485,21.98,1,0,0.2198
229,US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,FUR-CH-10004860,161.568,2,0.2,-28.2744
230,US-2015-145436,2015-02-28,2015-03-04,Standard Class,VD-21670,FUR-CH-10004477,389.696,8,0.2,43.8408
255,US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,FUR-FU-10002505,12.132,9,0.6,-8.4924
256,US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,OFF-ST-10004804,82.368,2,0.2,-19.5624
257,US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,OFF-ST-10001590,53.92,5,0.2,4.044
258,US-2015-159982,2015-11-28,2015-12-04,Standard Class,DR-12880,TEC-PH-10001580,647.904,6,0.2,56.6916
266,CA-2015-155040,2015-11-10,2015-11-15,Standard Class,AH-10210,TEC-AC-10004469,79.9,2,0,35.156
272,CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,TEC-AC-10003628,209.93,7,0,92.3692
273,CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,FUR-FU-10003274,5.28,3,0,2.3232
274,CA-2015-155334,2015-07-30,2015-07-31,First Class,HA-14920,OFF-BI-10002557,10.92,3,0.2,4.095
281,US-2015-161991,2015-09-26,2015-09-28,Second Class,SC-20725,OFF-BI-10004967,2.08,5,0.8,-3.432
282,US-2015-161991,2015-09-26,2015-09-28,Second Class,SC-20725,TEC-PH-10001760,1114.4,7,0.2,376.11
283,CA-2015-130890,2015-11-02,2015-11-06,Standard Class,JO-15280,FUR-TA-10002903,1038.84,5,0.2,51.942
284,CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,OFF-PA-10000474,141.76,5,0.2,47.844
285,CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,TEC-AC-10001956,239.8,5,0.2,47.96
286,CA-2015-130883,2015-09-26,2015-10-02,Standard Class,TB-21520,OFF-PA-10004100,31.104,6,0.2,10.8864
305,CA-2015-144253,2015-05-04,2015-05-09,Second Class,AS-10225,FUR-FU-10002671,26.8,2,0,12.864
306,CA-2014-130960,2014-12-30,2015-01-04,Standard Class,KB-16600,OFF-AR-10003651,9.84,3,0,2.8536
335,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,OFF-BI-10001922,4.752,1,0.2,1.6038
336,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,TEC-CO-10001449,959.984,2,0.2,335.9944
337,CA-2015-137946,2015-09-01,2015-09-04,Second Class,DB-13615,OFF-BI-10004140,14.368,4,0.2,4.49
340,CA-2015-128167,2015-06-22,2015-06-26,Second Class,KL-16645,OFF-FA-10000490,4.96,4,0,2.3312
345,US-2015-120712,2015-12-20,2015-12-24,Standard Class,CS-12130,OFF-ST-10000107,88.8,4,0.2,-2.22
379,CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,OFF-AP-10000696,8.652,3,0.8,-20.3322
380,CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,OFF-ST-10003327,23.832,3,0.2,2.6811
381,CA-2015-130792,2015-04-28,2015-05-05,Standard Class,RA-19915,OFF-BI-10000309,12.176,4,0.8,-18.8728
384,CA-2015-125395,2015-06-26,2015-06-29,Second Class,LA-16780,TEC-AC-10004708,41.9,2,0,8.799
385,US-2015-168935,2015-11-27,2015-12-02,Standard Class,DO-13435,FUR-TA-10000617,375.4575,3,0.45,-157.0095
386,US-2015-168935,2015-11-27,2015-12-02,Standard Class,DO-13435,TEC-AC-10002335,83.976,3,0.2,-1.0497
387,CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,TEC-MA-10001681,482.34,4,0.7,-337.638
388,CA-2015-122756,2015-12-03,2015-12-07,Standard Class,DK-13225,FUR-FU-10001935,2.96,1,0.2,0.777
398,CA-2015-122259,2015-10-31,2015-11-04,Standard Class,HP-14815,OFF-SU-10002573,70.12,4,0,21.036
460,CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,OFF-AP-10002472,103.92,4,0,36.372
461,CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,TEC-AC-10004571,899.91,9,0,377.9622
462,CA-2015-109638,2015-12-15,2015-12-22,Standard Class,JH-15985,OFF-BI-10001098,51.312,3,0.2,18.6006
468,US-2015-101399,2015-01-17,2015-01-24,Standard Class,JS-15940,FUR-FU-10002918,254.744,7,0.6,-312.0614
471,CA-2015-154144,2015-12-20,2015-12-24,Standard Class,MH-17785,OFF-PA-10004071,55.48,1,0,26.6304
496,CA-2015-134782,2015-12-27,2015-12-31,Standard Class,MD-17350,OFF-EN-10001434,105.42,2,0,51.6558
507,CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,OFF-AR-10001662,2.74,1,0,0.7398
508,CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,OFF-AR-10003856,8.34,3,0,2.1684
509,CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,OFF-ST-10001228,46.74,3,0,11.685
510,CA-2015-145352,2015-03-16,2015-03-22,Standard Class,CM-12385,OFF-BI-10003527,6354.95,5,0,3177.475
520,CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,TEC-AC-10000171,18.392,1,0.2,5.2877
521,CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,OFF-ST-10000736,129.568,2,0.2,-25.9136
522,CA-2015-157812,2015-03-22,2015-03-26,Standard Class,DB-13210,OFF-BI-10000285,14.112,9,0.8,-21.168
529,US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,OFF-ST-10004963,36.336,3,0.2,-7.2672
530,US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,OFF-SU-10002881,666.248,1,0.2,-149.9058
531,US-2015-138303,2015-09-03,2015-09-07,Standard Class,MG-18145,OFF-EN-10001335,52.512,6,0.2,19.692
532,CA-2015-102848,2015-11-07,2015-11-09,Second Class,KB-16240,FUR-CH-10000595,190.72,1,0.2,11.92
538,CA-2015-147851,2015-12-03,2015-12-08,Standard Class,MP-17470,OFF-BI-10004528,10.752,4,0.2,3.36
539,CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,OFF-AP-10001271,152.94,3,0,41.2938
540,CA-2015-134894,2015-12-07,2015-12-11,Standard Class,DK-12985,FUR-CH-10002647,283.92,4,0,70.98
543,US-2015-120161,2015-12-18,2015-12-23,Standard Class,LM-17065,OFF-ST-10001809,646.776,9,0.2,-145.5246
549,CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,OFF-ST-10000604,250.272,9,0.2,15.642
550,CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,OFF-BI-10004738,11.364,3,0.8,-17.046
551,CA-2015-113173,2015-11-15,2015-11-17,Second Class,DK-13225,OFF-SU-10001935,8.72,5,0.2,-1.744
564,CA-2015-130736,2015-12-07,2015-12-09,First Class,JF-15490,OFF-FA-10003467,3.96,2,0,0
565,CA-2015-130736,2015-12-07,2015-12-09,First Class,JF-15490,OFF-LA-10000634,2.61,1,0,1.2006
576,CA-2015-149713,2015-09-18,2015-09-22,Second Class,TG-21640,OFF-PA-10004530,160.72,14,0,78.7528
577,CA-2015-149713,2015-09-18,2015-09-22,Second Class,TG-21640,OFF-PA-10001450,19.92,4,0,9.7608
578,CA-2015-149713,2015-09-18,2015-09-22,Second Class,TG-21640,OFF-SU-10001574,7.3,2,0,2.19
581,CA-2015-132906,2015-09-10,2015-09-14,Standard Class,CC-12145,OFF-SU-10004498,51.52,4,0,1.5456
587,CA-2015-128139,2015-07-03,2015-07-09,Standard Class,BD-11725,FUR-CH-10003956,70.98,1,0,4.9686
588,CA-2015-128139,2015-07-03,2015-07-09,Standard Class,BD-11725,OFF-LA-10003930,294.93,3,0,144.5157
623,CA-2015-138009,2015-11-29,2015-12-03,Standard Class,SF-20965,FUR-CH-10004853,301.96,2,0,87.5684
624,CA-2015-138009,2015-11-29,2015-12-03,Standard Class,SF-20965,OFF-AP-10000179,555.21,5,0.1,178.901
625,CA-2015-138009,2015-11-29,2015-12-03,Standard Class,SF-20965,OFF-ST-10001272,523.48,4,0,130.87
626,CA-2015-138009,2015-11-29,2015-12-03,Standard Class,SF-20965,OFF-AR-10004042,161.82,9,0,46.9278
636,CA-2015-168004,2015-10-04,2015-10-09,Second Class,DJ-13420,FUR-CH-10001482,392.94,3,0,43.2234
660,CA-2015-146563,2015-08-24,2015-08-28,Standard Class,CB-12025,OFF-ST-10001490,999.432,7,0.2,124.929
661,CA-2015-146563,2015-08-24,2015-08-28,Standard Class,CB-12025,OFF-ST-10001511,724.08,14,0.2,-135.765
662,CA-2015-146563,2015-08-24,2015-08-28,Standard Class,CB-12025,FUR-TA-10001768,918.785,5,0.3,-118.1295
663,CA-2015-146563,2015-08-24,2015-08-28,Standard Class,CB-12025,OFF-BI-10003981,2.724,3,0.8,-4.2222
693,CA-2015-131534,2015-03-28,2015-04-02,Standard Class,AB-10165,TEC-AC-10002253,166.24,1,0,24.936
694,CA-2015-131534,2015-03-28,2015-04-02,Standard Class,AB-10165,OFF-PA-10000743,33.4,5,0,16.032
695,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-AR-10003373,198.272,8,0.2,17.3488
696,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-LA-10002312,47.36,4,0.2,17.76
697,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-EN-10000927,200.984,7,0.2,62.8075
698,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-LA-10003510,97.696,4,0.2,31.7512
699,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-AR-10001118,2.696,1,0.2,0.8088
700,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-BI-10001575,18.588,2,0.7,-13.6312
701,CA-2015-119291,2015-05-14,2015-05-17,First Class,JO-15550,OFF-BI-10001982,4.896,3,0.7,-3.4272
704,CA-2015-142027,2015-04-09,2015-04-14,Standard Class,JK-15370,FUR-TA-10002774,369.912,3,0.2,-13.8717
755,CA-2015-135272,2015-12-07,2015-12-12,Standard Class,MS-17830,FUR-FU-10002759,79.92,4,0,28.7712
757,CA-2014-106803,2014-12-29,2015-01-02,Standard Class,DC-13285,OFF-ST-10002444,24.56,2,0,6.8768
758,CA-2014-106803,2014-12-29,2015-01-02,Standard Class,DC-13285,TEC-AC-10001267,119.8,4,0,47.92
761,CA-2015-112319,2015-08-31,2015-09-05,Standard Class,AR-10510,OFF-PA-10003441,58.32,9,0,27.9936
763,CA-2015-114923,2015-02-08,2015-02-13,Standard Class,LH-17020,TEC-PH-10003931,107.982,3,0.4,-26.9955
778,CA-2015-144267,2015-08-21,2015-08-23,First Class,NZ-18565,FUR-CH-10002335,544.008,3,0.2,40.8006
779,CA-2015-144267,2015-08-21,2015-08-23,First Class,NZ-18565,OFF-PA-10000157,59.94,3,0,28.1718
780,CA-2015-144267,2015-08-21,2015-08-23,First Class,NZ-18565,OFF-PA-10001947,23.92,4,0,11.7208
781,CA-2015-144267,2015-08-21,2015-08-23,First Class,NZ-18565,OFF-PA-10003657,4.28,1,0,1.926
782,US-2015-157014,2015-10-03,2015-10-06,Second Class,BM-11785,OFF-BI-10001098,32.07,5,0.7,-22.449
783,US-2015-157014,2015-10-03,2015-10-06,Second Class,BM-11785,TEC-AC-10002167,24,2,0.2,-2.7
784,US-2015-157014,2015-10-03,2015-10-06,Second Class,BM-11785,FUR-BO-10004409,35.49,1,0.5,-15.6156
785,US-2015-157014,2015-10-03,2015-10-06,Second Class,BM-11785,TEC-AC-10000057,47.984,2,0.2,0.5998
786,CA-2015-154921,2015-05-23,2015-05-28,Standard Class,EA-14035,OFF-EN-10000056,186.69,3,0,87.7443
788,CA-2015-154620,2015-12-12,2015-12-16,Standard Class,LT-17110,FUR-CH-10004675,348.928,2,0.2,34.8928
789,CA-2015-115938,2015-06-26,2015-06-30,Standard Class,SA-20830,OFF-BI-10001543,143.96,4,0,69.1008
790,CA-2015-115938,2015-06-26,2015-06-30,Standard Class,SA-20830,OFF-ST-10001321,15.42,1,0,4.1634
791,CA-2015-115938,2015-06-26,2015-06-30,Standard Class,SA-20830,OFF-BI-10001132,43.04,8,0,21.0896
792,CA-2015-115938,2015-06-26,2015-06-30,Standard Class,SA-20830,FUR-CH-10003199,332.94,3,0,79.9056
797,CA-2015-124653,2015-12-24,2015-12-26,First Class,DB-13120,OFF-PA-10000176,132.79,7,0,63.7392
798,CA-2015-124653,2015-12-24,2015-12-26,First Class,DB-13120,OFF-PA-10002365,12.96,2,0,6.2208
799,CA-2015-124653,2015-12-24,2015-12-26,First Class,DB-13120,OFF-LA-10002271,21.56,7,0,10.3488
800,CA-2015-101910,2015-11-27,2015-12-03,Standard Class,CD-11920,FUR-CH-10002647,283.92,5,0.2,17.745
808,CA-2015-140921,2015-02-03,2015-02-05,First Class,AA-10375,FUR-FU-10003347,28.4,2,0,11.076
809,CA-2015-140921,2015-02-03,2015-02-05,First Class,AA-10375,TEC-AC-10004901,149.97,3,0,50.9898
816,CA-2015-106565,2015-03-20,2015-03-23,First Class,BW-11110,OFF-PA-10000061,51.84,8,0,24.8832
840,CA-2015-100454,2015-11-20,2015-11-25,Standard Class,BM-11650,OFF-AR-10004648,60.45,3,0,16.3215
841,CA-2015-100454,2015-11-20,2015-11-25,Standard Class,BM-11650,OFF-AR-10002578,11.52,4,0,3.3408
842,CA-2015-100454,2015-11-20,2015-11-25,Standard Class,BM-11650,FUR-BO-10001519,186.048,4,0.2,9.3024
847,CA-2015-114300,2015-10-13,2015-10-17,Standard Class,AF-10885,TEC-PH-10001552,83.72,7,0,23.4416
848,CA-2015-114300,2015-10-13,2015-10-17,Standard Class,AF-10885,FUR-CH-10001891,287.94,3,0,77.7438
872,CA-2015-131128,2015-10-19,2015-10-20,First Class,TB-21520,OFF-PA-10003591,34.44,3,0,17.22
882,CA-2015-129098,2015-10-09,2015-10-13,Standard Class,DK-13090,OFF-ST-10001321,30.84,2,0,8.3268
886,CA-2015-143602,2015-04-25,2015-04-28,Second Class,JS-15595,OFF-BI-10002071,13.944,3,0.2,4.5318
913,CA-2015-133627,2015-05-31,2015-06-07,Standard Class,SC-20050,FUR-FU-10001935,22.2,6,0,9.102
922,CA-2015-111164,2015-04-11,2015-04-15,Standard Class,SE-20110,TEC-AC-10002473,85.14,3,0,34.9074
923,CA-2015-111164,2015-04-11,2015-04-15,Standard Class,SE-20110,TEC-PH-10004531,21.99,1,0,10.5552
924,CA-2015-111164,2015-04-11,2015-04-15,Standard Class,SE-20110,OFF-AP-10004487,406.6,5,0,113.848
928,CA-2015-115091,2015-10-05,2015-10-09,Standard Class,JJ-15760,OFF-AR-10000658,46.2,4,0,12.936
929,CA-2015-115091,2015-10-05,2015-10-09,Standard Class,JJ-15760,OFF-AP-10000696,28.84,2,0,9.5172
939,CA-2015-148250,2015-12-13,2015-12-17,Standard Class,RP-19270,OFF-PA-10000289,12.96,2,0,6.2208
940,CA-2015-148250,2015-12-13,2015-12-17,Standard Class,RP-19270,OFF-AP-10003040,134.48,4,0,34.9648
944,CA-2015-120880,2015-05-29,2015-06-03,Standard Class,JL-15850,OFF-PA-10004101,32.4,5,0,15.552
945,CA-2015-120880,2015-05-29,2015-06-03,Standard Class,JL-15850,OFF-ST-10001496,540.57,3,0,140.5482
946,CA-2015-120880,2015-05-29,2015-06-03,Standard Class,JL-15850,OFF-BI-10002931,167.76,5,0.2,62.91
947,US-2015-140200,2015-07-26,2015-07-28,First Class,CA-12775,FUR-TA-10002356,393.165,3,0.5,-204.4458
960,CA-2015-112571,2015-09-22,2015-09-22,Same Day,DL-12925,FUR-FU-10004188,204.6,2,0,53.196
962,CA-2015-160059,2015-11-27,2015-12-01,Standard Class,TB-21190,OFF-BI-10000145,6.24,2,0,3.0576
980,CA-2015-157035,2015-12-09,2015-12-12,First Class,KB-16600,OFF-PA-10004156,34.02,3,0,16.6698
988,CA-2015-146829,2015-03-10,2015-03-10,Same Day,TS-21340,OFF-BI-10004022,1.112,2,0.8,-1.8904
991,CA-2015-153549,2015-03-29,2015-03-31,Second Class,SL-20155,FUR-CH-10004086,1166.92,5,0.2,131.2785
997,CA-2015-162537,2015-10-28,2015-11-03,Standard Class,RD-19585,OFF-EN-10003862,10.67,1,0,4.9082
998,CA-2015-162537,2015-10-28,2015-11-03,Standard Class,RD-19585,OFF-ST-10004258,36.63,3,0,9.8901
999,CA-2015-162537,2015-10-28,2015-11-03,Standard Class,RD-19585,FUR-FU-10002885,24.1,5,0,9.158
1000,CA-2015-162537,2015-10-28,2015-11-03,Standard Class,RD-19585,FUR-FU-10001918,33.11,7,0,12.9129
1002,CA-2015-124891,2015-07-31,2015-07-31,Same Day,RH-19495,TEC-AC-10003033,2309.65,7,0,762.1845
1003,CA-2015-124891,2015-07-31,2015-07-31,Same Day,RH-19495,FUR-TA-10002903,1090.782,7,0.4,-290.8752
1004,CA-2015-124891,2015-07-31,2015-07-31,Same Day,RH-19495,OFF-PA-10004621,19.44,3,0,9.3312
1005,CA-2015-126445,2015-08-27,2015-08-31,Standard Class,RA-19945,OFF-ST-10000046,484.65,3,0,92.0835
1006,CA-2015-111199,2015-11-13,2015-11-17,Standard Class,JK-15730,OFF-PA-10001790,115.296,3,0.2,40.3536
1007,CA-2015-105312,2015-11-06,2015-11-09,First Class,MT-17815,OFF-EN-10002600,7.08,3,0.2,2.478
1008,CA-2015-105312,2015-11-06,2015-11-09,First Class,MT-17815,OFF-BI-10002049,4.401,3,0.7,-3.5208
1014,US-2015-126214,2015-12-21,2015-12-24,Second Class,JS-15880,FUR-TA-10003748,1618.37,13,0,356.0414
1015,US-2015-126214,2015-12-21,2015-12-24,Second Class,JS-15880,TEC-AC-10003198,99.6,1,0,36.852
1016,CA-2015-133025,2015-09-17,2015-09-19,Second Class,MO-17800,OFF-PA-10004100,32.4,5,0,15.552
1017,CA-2015-108665,2015-07-06,2015-07-10,Standard Class,KM-16225,FUR-FU-10002191,13.96,2,0,6.7008
1018,CA-2015-108665,2015-07-06,2015-07-10,Standard Class,KM-16225,FUR-FU-10000965,155.82,3,0,63.8862
1019,CA-2015-108665,2015-07-06,2015-07-10,Standard Class,KM-16225,TEC-PH-10004188,124.95,5,0,2.499
1020,CA-2015-108665,2015-07-06,2015-07-10,Standard Class,KM-16225,OFF-ST-10001526,601.65,5,0,156.429
1021,CA-2015-124450,2015-04-27,2015-05-03,Standard Class,GT-14710,OFF-AR-10001166,22.74,3,0,8.8686
1022,CA-2015-124450,2015-04-27,2015-05-03,Standard Class,GT-14710,FUR-CH-10000309,1267.53,3,0,316.8825
1023,CA-2015-124450,2015-04-27,2015-05-03,Standard Class,GT-14710,TEC-MA-10004212,1379.92,8,0,648.5624
1024,CA-2015-167269,2015-06-16,2015-06-20,Standard Class,PB-19150,OFF-EN-10003072,6.208,2,0.2,2.1728
1038,CA-2015-127418,2015-06-13,2015-06-14,First Class,JJ-15445,OFF-BI-10003707,36.624,3,0.2,13.734
1051,US-2015-153500,2015-07-03,2015-07-05,First Class,DG-13300,FUR-FU-10000293,168.464,2,0.2,-29.4812
